user_pk,follower_pk,follower_username,follower_count
623659295,1480545620,larryrountree_realestate,221
623659295,176391249,lextakesthecity,2088
623659295,60878560846,gloria_homeloans,147
623659295,65334952132,facelessfreedomlifestyle,1104
623659295,14092822,phil_belichick,216
623659295,5418121884,tamiasellsmichigan,304
623659295,45237246463,yanick.nb,455
623659295,24978079418,heatherbradley.realtor,306
623659295,179367416,narimuvaaa,695
623659295,271852862,agentdooley,2695
623659295,28576561469,lo_sackreligious,421
623659295,176345998,thee_aldavis,344
623659295,1753490788,bigdomo_5000,1134
623659295,4765351008,darkskintrin,243
623659295,175576361,_jclark06,928
623659295,19851712,savage___c,137
623659295,8320911896,kerryd.sing,397
623659295,3278910158,yourfavvnurse,146
623659295,319225967,gq_underated,216
623659295,175873875,kingkeviorr,382
623659295,246097685,6figgadee,1180
623659295,33338411,klarq_kent,604
623659295,14955349407,shanakaychisholm,317
623659295,33644888,afrosenjusensei,250
623659295,1157612238,campbell_dawon,1201
623659295,34756086,theallenmiller,613
623659295,1417100925,tee__richh,110
623659295,28386798142,blackbeardrell,262
623659295,396913158,the.real.ciity,244
623659295,2051431045,andreaysanders_,910
623659295,25167222,imthatbrit,293
623659295,485349484,benjamin_nicks,179
623659295,33336513,unsweet_t33,1926
623659295,7689365857,mrivan83,1263
623659295,1642083179,loadingdrcandy,709
623659295,4132744691,murffresolute,169
623659295,32854434,dashboss,161
623659295,7515911042,theselfcareking_kenneth,9468
623659295,11239347,prodbytomcash,265
623659295,26734714,ichrisadams,589
623659295,144857151,mysoftwifelife,438
623659295,15080266,2goals1carl,147
623659295,180367106,mzomg_travelz22,217
623659295,182869947,duwyna_therealtor,247
623659295,32978381,88domo_,176
623659295,181416114,biigkountry_,493
623659295,41600513,_itbrewswell,1122
623659295,20221425,iamtierney,332
623659295,219860614,caribbeantoast,144
623659295,5675995953,luffy_1.5_,389
623659295,23506153,camellia_hurt1,505
623659295,9439105,korinedwards,259
623659295,412878269,her_highness_markie,268
623659295,26772783089,peytonknattsr,157
623659295,2263548014,nameisalana,222
623659295,276636411,qweezymakeiteasy,1054
623659295,15687713,youdontknowjck,105
623659295,550956054,_lkushi901,349
623659295,23865717,caris_iman,3250
