thread_user_pk,thread_follower_pk,thread_username,thread_follower_username
63310777769.0,64089537281.0,mlssfshn,gabriel_lagon
63387940542.0,69655371289.0,thisisaltgian,beiyo_
63387940542.0,63133269390.0,thisisaltgian,realwanita
63387940542.0,63229244703.0,thisisaltgian,pelumi__i
63387940542.0,63421342632.0,thisisaltgian,olufisola_
63387940542.0,63138230121.0,thisisaltgian,morjhie
63387940542.0,63067098823.0,thisisaltgian,_richglam
63387940542.0,63159125263.0,thisisaltgian,nma.dinma
63387940542.0,67616213505.0,thisisaltgian,de__santox
63387940542.0,68027286491.0,thisisaltgian,mercyblackstarr
63387940542.0,63432039613.0,thisisaltgian,albrightenyioha
63387940542.0,69073676544.0,thisisaltgian,smart_coded_
63387940542.0,63468129316.0,thisisaltgian,davidoladoyinjnr
63387940542.0,63370663216.0,thisisaltgian,thekintann
63387940542.0,63208102865.0,thisisaltgian,hibeebabs
63387940542.0,63445752384.0,thisisaltgian,tomiakinade
63387940542.0,70271496759.0,thisisaltgian,_h.a.r.m.o.n.y___
63387940542.0,63078031507.0,thisisaltgian,x.akintola
63387940542.0,63419084744.0,thisisaltgian,adedamolaajisafe
63387940542.0,68184377206.0,thisisaltgian,felicia_jokodola
63387940542.0,67515444465.0,thisisaltgian,oh_shells
63387940542.0,63467090251.0,thisisaltgian,mayoorpsalmz
63387940542.0,63261922524.0,thisisaltgian,oluwatoyin_olayinka
63387940542.0,63097830472.0,thisisaltgian,oyeboadetaiwo16
63387940542.0,63139654342.0,thisisaltgian,timiadeoti
63387940542.0,63052679015.0,thisisaltgian,estheranmi_
63387940542.0,63068813935.0,thisisaltgian,arowolo_lola
63387940542.0,63384758057.0,thisisaltgian,_izzy_boy__
63387940542.0,63224732113.0,thisisaltgian,thesolajaolawale
63387940542.0,63465104603.0,thisisaltgian,isaac_esosa
63387940542.0,63050708226.0,thisisaltgian,mak_inwaa
63387940542.0,68757545599.0,thisisaltgian,lukatphil
63387940542.0,63419322272.0,thisisaltgian,kayugwuzor
63387940542.0,70057119970.0,thisisaltgian,_mondeh
63387940542.0,63426670937.0,thisisaltgian,damijenfa
63387940542.0,67218451747.0,thisisaltgian,manajae_
63387940542.0,63245867006.0,thisisaltgian,tani_momorebe
63387940542.0,70693293966.0,thisisaltgian,pwetty_miss
63387940542.0,69235676284.0,thisisaltgian,itz_ninii
63387940542.0,64328723541.0,thisisaltgian,felipe_reina_7991
63387940542.0,63449625621.0,thisisaltgian,_jesutosin
63387940542.0,63099295254.0,thisisaltgian,iamemeruwa
63387940542.0,63302569925.0,thisisaltgian,imoan_barbz
63387940542.0,63456650135.0,thisisaltgian,faithadeoye_
63387940542.0,63245620254.0,thisisaltgian,estyimuk
63387940542.0,63396180661.0,thisisaltgian,_fiyinfoluwa.a_
63387940542.0,63501113403.0,thisisaltgian,lizzyakadi
63387940542.0,63434705790.0,thisisaltgian,just4ease
63387940542.0,63063133468.0,thisisaltgian,o_oreoluwaa
63387940542.0,63128260876.0,thisisaltgian,samsonogunrinde_
63387940542.0,69647189400.0,thisisaltgian,miss_teelz
63387940542.0,63466091611.0,thisisaltgian,zionahh_cc
63387940542.0,63069974069.0,thisisaltgian,d.oluwajoju
63387940542.0,63237706782.0,thisisaltgian,adeyemidamilola_
