user_pk,follower_pk,follower_username,follower_count,thread_user_pk,thread_username,thread_follower_pk,thread_follower_username
63310777769.0,,,0.0,63310777769.0,mlssfshn,63265641554.0,dirt_floor_record_production
904559.0,,,0.0,904559.0,shelli1370,63133854921.0,mooncatkait
35151563205.0,,,0.0,35151563205.0,julie.rockwell_author,70097694048.0,acourtofwordsandletters
71051793074.0,,,0.0,71051793074.0,morgan_sperry_writes,64338268138.0,notions.of.nobody
328766914.0,,,0.0,328766914.0,bringinguptheberneys,64638297934.0,juliedmissen_author
353435293.0,,,0.0,353435293.0,stepphyroff,52748805672.0,nick_bookworm
353435293.0,,,0.0,353435293.0,stepphyroff,69670770373.0,isitsowithgavinbuckle
353435293.0,,,0.0,353435293.0,stepphyroff,58444618383.0,justreaditalreadypod
39366804113.0,,,0.0,39366804113.0,deb_createsfunandluvskindness,70428705305.0,mistydudley42
31410547.0,,,0.0,31410547.0,istolethecatspjs,63043437031.0,jennisimonis_author
63488392374.0,,,0.0,63488392374.0,wafmichael,2907929476.0,jessicamap
35705345720.0,,,0.0,35705345720.0,john.st.clair.56,26832928275.0,stardustparadox
70834502504.0,,,0.0,70834502504.0,rcuthbertson.writes,64338268138.0,notions.of.nobody
70834502504.0,,,0.0,70834502504.0,rcuthbertson.writes,71459492115.0,mwheatleywriter
70834502504.0,,,0.0,70834502504.0,rcuthbertson.writes,65401730120.0,jmelea_author
70834502504.0,,,0.0,70834502504.0,rcuthbertson.writes,71051793074.0,morgan_sperry_writes
70834502504.0,,,0.0,70834502504.0,rcuthbertson.writes,71324892320.0,officialsrscinema
70834502504.0,,,0.0,70834502504.0,rcuthbertson.writes,65172073819.0,eluminora
70834502504.0,,,0.0,70834502504.0,rcuthbertson.writes,68361680457.0,marcushawke
70834502504.0,,,0.0,70834502504.0,rcuthbertson.writes,70854790498.0,knovelprotocol
63426158397.0,,,0.0,63426158397.0,lmorris_writer,63943005455.0,poetry_by_ed
1961097326.0,,,0.0,1961097326.0,firexxlily,63612363814.0,beckywrightauthor
1961097326.0,,,0.0,1961097326.0,firexxlily,2907929476.0,jessicamap
69162290076.0,,,0.0,69162290076.0,camgayfantasyreader,69670770373.0,isitsowithgavinbuckle
69162290076.0,,,0.0,69162290076.0,camgayfantasyreader,51621989079.0,johnjbooks
69162290076.0,,,0.0,69162290076.0,camgayfantasyreader,4318110380.0,jmayson11
64338268138.0,,,0.0,64338268138.0,notions.of.nobody,63368302898.0,kidgillis
55594923444.0,,,0.0,55594923444.0,contentcrateuk,65256461753.0,mysticminerals_teri
71459492115.0,,,0.0,71459492115.0,mwheatleywriter,65401730120.0,jmelea_author
71459492115.0,,,0.0,71459492115.0,mwheatleywriter,71622882094.0,thebookbattleaxe
63400902173.0,,,0.0,63400902173.0,carrieauthor,68011718036.0,josh.mccluskey.796
63400902173.0,,,0.0,63400902173.0,carrieauthor,58502338308.0,juliefearnwriter
49631430094.0,,,0.0,49631430094.0,lisaamooreauthor,70854888684.0,vineetvermaauthor
49631430094.0,,,0.0,49631430094.0,lisaamooreauthor,65172073819.0,eluminora
62971506123.0,,,0.0,62971506123.0,wanderingdeerpoet,69382603522.0,nicknacknyuknyuknyuk
62971506123.0,,,0.0,62971506123.0,wanderingdeerpoet,68354062924.0,theofficialoddaly
63078643124.0,,,0.0,63078643124.0,indiemusicwomen,65175018549.0,airamfmofficial
63078643124.0,,,0.0,63078643124.0,indiemusicwomen,63223710605.0,bookish.baddie
69884012575.0,,,0.0,69884012575.0,ninjasouthside,71865395601.0,hatsunechastity
69884012575.0,,,0.0,69884012575.0,ninjasouthside,69054533247.0,sugar.y.spite
69884012575.0,,,0.0,69884012575.0,ninjasouthside,63995732074.0,tanjalin
69884012575.0,,,0.0,69884012575.0,ninjasouthside,69638162998.0,actuallyelastigirl
69884012575.0,,,0.0,69884012575.0,ninjasouthside,64516644874.0,zen_doe42
69884012575.0,,,0.0,69884012575.0,ninjasouthside,63367833785.0,villainchrisk
30273655584.0,,,0.0,30273655584.0,chenellebremont,63307928336.0,septimusbrown
7572394349.0,,,0.0,7572394349.0,michelleleighmiller_author,63428870110.0,bob_b_1961
7572394349.0,,,0.0,7572394349.0,michelleleighmiller_author,63400902173.0,carrieauthor
63428878626.0,,,0.0,63428878626.0,theconstantvoice,1748581171.0,luna13darke
63428878626.0,,,0.0,63428878626.0,theconstantvoice,58003483903.0,ursus_art_eva_mout
63428878626.0,,,0.0,63428878626.0,theconstantvoice,11327211724.0,emilygrayauthor
63428878626.0,,,0.0,63428878626.0,theconstantvoice,68361680457.0,marcushawke
63428878626.0,,,0.0,63428878626.0,theconstantvoice,65961806408.0,ellenreadauthor
63428878626.0,,,0.0,63428878626.0,theconstantvoice,63041743712.0,hollys_book_nook
63428878626.0,,,0.0,63428878626.0,theconstantvoice,3662105709.0,jjswrites
63428878626.0,,,0.0,63428878626.0,theconstantvoice,63411132135.0,bumble_and_brush
63428878626.0,,,0.0,63428878626.0,theconstantvoice,63612363814.0,beckywrightauthor
63428878626.0,,,0.0,63428878626.0,theconstantvoice,7212635043.0,manylittlewords
63428878626.0,,,0.0,63428878626.0,theconstantvoice,1961097326.0,firexxlily
63428878626.0,,,0.0,63428878626.0,theconstantvoice,2907929476.0,jessicamap
63428878626.0,,,0.0,63428878626.0,theconstantvoice,1901636778.0,loli_santanelli
63428878626.0,,,0.0,63428878626.0,theconstantvoice,3092444516.0,fairestskyebooks
63428878626.0,,,0.0,63428878626.0,theconstantvoice,3081080225.0,contraryreader
63428878626.0,,,0.0,63428878626.0,theconstantvoice,63400902173.0,carrieauthor
63428878626.0,,,0.0,63428878626.0,theconstantvoice,63457360430.0,princesssudi
63428878626.0,,,0.0,63428878626.0,theconstantvoice,63125879808.0,jjdoborwrites
63428878626.0,,,0.0,63428878626.0,theconstantvoice,63079986020.0,katerinasanders
63428878626.0,,,0.0,63428878626.0,theconstantvoice,63488392374.0,wafmichael
63428878626.0,,,0.0,63428878626.0,theconstantvoice,63308616858.0,danafraedrich
63428878626.0,,,0.0,63428878626.0,theconstantvoice,63316161624.0,stevegriffin.author
63428878626.0,,,0.0,63428878626.0,theconstantvoice,62863447280.0,julieemovon_author
63428878626.0,,,0.0,63428878626.0,theconstantvoice,5885013.0,ddrosche
63428878626.0,,,0.0,63428878626.0,theconstantvoice,63251473081.0,asholdfieldauthor
63428878626.0,,,0.0,63428878626.0,theconstantvoice,7848499447.0,theliteraryhooker
63428878626.0,,,0.0,63428878626.0,theconstantvoice,63104253787.0,dlgillis20
32978511983.0,,,0.0,32978511983.0,rosejfairchild,63067940437.0,brittanyannreads
32978511983.0,,,0.0,32978511983.0,rosejfairchild,71452042928.0,jamesfahyauthor_real
