user_pk,follower_pk,follower_username,follower_count,thread_user_pk,username
aliencoremuzik,71347280359.0,arts.wh0re,123,63073067781.0,aliencoremuzik
aliencoremuzik,65191160590.0,cc.jayyyy,34,63073067781.0,aliencoremuzik
aliencoremuzik,70294896056.0,aliquashady999,120,63073067781.0,aliencoremuzik
aliencoremuzik,70648309318.0,dsombk,12,63073067781.0,aliencoremuzik
aliencoremuzik,52232781595.0,mojito.mike21,24,63073067781.0,aliencoremuzik
aliencoremuzik,71725228689.0,bastifuuu,20,63073067781.0,aliencoremuzik
aliencoremuzik,41911727975.0,dlnvaaz,15,63073067781.0,aliencoremuzik
aliencoremuzik,70885859819.0,bennymcvay,6,63073067781.0,aliencoremuzik
aliencoremuzik,13802590014.0,matulik__,79,63073067781.0,aliencoremuzik
aliencoremuzik,71473167795.0,_chris.arceo,48,63073067781.0,aliencoremuzik
aliencoremuzik,66891631140.0,canib__1n_your_basemeant,1,63073067781.0,aliencoremuzik
aliencoremuzik,61329180866.0,gamingleopard428,1,63073067781.0,aliencoremuzik
aliencoremuzik,44194677842.0,every1hatesbenn,12,63073067781.0,aliencoremuzik
aliencoremuzik,59602986409.0,ruin_pop,16,63073067781.0,aliencoremuzik
aliencoremuzik,71485223709.0,moha_med.2332009,1,63073067781.0,aliencoremuzik
aliencoremuzik,54971006231.0,lil_tj20007,16,63073067781.0,aliencoremuzik
aliencoremuzik,3438149810.0,moskri_,15,63073067781.0,aliencoremuzik
aliencoremuzik,19541034751.0,ihyjio_juan,42,63073067781.0,aliencoremuzik
aliencoremuzik,59589774495.0,rajibkrmakar,14,63073067781.0,aliencoremuzik
aliencoremuzik,14687279054.0,tired_oftwan,12,63073067781.0,aliencoremuzik
aliencoremuzik,44967201736.0,bendylane2,24,63073067781.0,aliencoremuzik
aliencoremuzik,63098396765.0,markelzur.p,74,63073067781.0,aliencoremuzik
aliencoremuzik,72127832832.0,khloe.slggg,19,63073067781.0,aliencoremuzik
aliencoremuzik,63393698738.0,aiman.irfaan,1,63073067781.0,aliencoremuzik
aliencoremuzik,437981182.0,iss.jas,13,63073067781.0,aliencoremuzik
aliencoremuzik,63085532463.0,davluna_,69,63073067781.0,aliencoremuzik
aliencoremuzik,67078900445.0,v_delsid90,69,63073067781.0,aliencoremuzik
aliencoremuzik,60205809052.0,n.ix41,5,63073067781.0,aliencoremuzik
aliencoremuzik,1511055437.0,guntis.u,19,63073067781.0,aliencoremuzik
aliencoremuzik,70997928038.0,jangra3097,103,63073067781.0,aliencoremuzik
aliencoremuzik,72137187185.0,grace.maze12,7,63073067781.0,aliencoremuzik
aliencoremuzik,4622124902.0,leon_dckm,3,63073067781.0,aliencoremuzik
aliencoremuzik,72508907585.0,ha_rika8307,68,63073067781.0,aliencoremuzik
aliencoremuzik,67797731388.0,andres_hernandez_14k,78,63073067781.0,aliencoremuzik
aliencoremuzik,63374942668.0,sm_michael_,67,63073067781.0,aliencoremuzik
aliencoremuzik,5998539604.0,a5th_afif,10,63073067781.0,aliencoremuzik
aliencoremuzik,64614373068.0,karmaistleben,143,63073067781.0,aliencoremuzik
aliencoremuzik,36784968894.0,jamesmoore3430,6,63073067781.0,aliencoremuzik
aliencoremuzik,68933546342.0,rupawala31,46,63073067781.0,aliencoremuzik
aliencoremuzik,63225637745.0,danaeee.k,121,63073067781.0,aliencoremuzik
aliencoremuzik,38739054443.0,afterlife_gl,39,63073067781.0,aliencoremuzik
aliencoremuzik,65770466535.0,boss_habib11,6,63073067781.0,aliencoremuzik
aliencoremuzik,1980613316.0,nelz.the.stylist,10,63073067781.0,aliencoremuzik
aliencoremuzik,72118246949.0,layla._loove,8,63073067781.0,aliencoremuzik
aliencoremuzik,72308586747.0,camila.presley,21,63073067781.0,aliencoremuzik
aliencoremuzik,72103791502.0,leannamindy1,1,63073067781.0,aliencoremuzik
aliencoremuzik,71978386214.0,kyle_will949,2,63073067781.0,aliencoremuzik
aliencoremuzik,61698445752.0,accirl,4,63073067781.0,aliencoremuzik
aliencoremuzik,1762317888.0,yesi_sanchez23,26,63073067781.0,aliencoremuzik
aliencoremuzik,70132549253.0,kig6.64,7,63073067781.0,aliencoremuzik
aliencoremuzik,63100051182.0,hamodeh_dg,48,63073067781.0,aliencoremuzik
aliencoremuzik,72299397339.0,daisy.milleriew,5,63073067781.0,aliencoremuzik
aliencoremuzik,64403894079.0,plazaliu,544,63073067781.0,aliencoremuzik
aliencoremuzik,67949975401.0,frankedwardf,87,63073067781.0,aliencoremuzik
aliencoremuzik,50745607680.0,24jcoffey,31,63073067781.0,aliencoremuzik
aliencoremuzik,71197337215.0,coldworldnaayy_,77,63073067781.0,aliencoremuzik
aliencoremuzik,51270057490.0,dana.cherry.pie,17,63073067781.0,aliencoremuzik
aliencoremuzik,63892290717.0,1al_dane,24,63073067781.0,aliencoremuzik
