thread_user_pk,thread_username,thread_follower_pk,thread_follower_username,follower_count
63404132645.0,ajmstoryteller,63460213473.0,sojournerweaver,
63404132645.0,ajmstoryteller,69858622841.0,igakoncka,
63404132645.0,ajmstoryteller,63052518832.0,izzie3030,
63404132645.0,ajmstoryteller,64608644575.0,daisyslittlemeadow,
63404132645.0,ajmstoryteller,64334799148.0,jazzcabbageenthusiast69,
63404132645.0,ajmstoryteller,67083291585.0,inks_by_kayla,
63404132645.0,ajmstoryteller,65835444819.0,rabitt.marketing,
63404132645.0,ajmstoryteller,63428870110.0,bob_b_1961,
63404132645.0,ajmstoryteller,63445120764.0,prettyspookygh0ul,
63404132645.0,ajmstoryteller,63421263906.0,jenna_mcleod_author_,
63404132645.0,ajmstoryteller,63126653816.0,matthewdalbertson,
63404132645.0,ajmstoryteller,63249130328.0,axl_warpshaft,
63404132645.0,ajmstoryteller,63505367898.0,meranibunni,
63404132645.0,ajmstoryteller,63381245915.0,jameswritesurprisingly,
64281907296.0,aleianakalia,63435800990.0,alouarzaga,
64281907296.0,aleianakalia,71281023931.0,tesema902,
64281907296.0,aleianakalia,70256316738.0,acidxbathory,
64281907296.0,aleianakalia,63410410366.0,gunnar_tatts,
64281907296.0,aleianakalia,63233794888.0,xamphetanina,
64281907296.0,aleianakalia,64605495809.0,elek_natures_world,
64281907296.0,aleianakalia,63064470626.0,macgregor7894,
64281907296.0,aleianakalia,64600348460.0,msandreacamille,
64281907296.0,aleianakalia,64257645343.0,omnidexxghost,
69099928682.0,_usererror333_,63083730950.0,laynepaigee,
69099928682.0,_usererror333_,64257645343.0,omnidexxghost,
69099928682.0,_usererror333_,67712412407.0,reginald.bowen.61,
69099928682.0,_usererror333_,70440826177.0,silverpan,
69099928682.0,_usererror333_,70633205182.0,shaunarenee84,
69099928682.0,_usererror333_,70517033247.0,luminalytics,
69099928682.0,_usererror333_,69043119902.0,logicalwonderz,
69099928682.0,_usererror333_,71341934910.0,ice_avalanche,
69099928682.0,_usererror333_,71865395601.0,hatsunechastity,
69099928682.0,_usererror333_,67034868904.0,qveen.jenna_,
69099928682.0,_usererror333_,70894623771.0,nightmare_ulas,
69099928682.0,_usererror333_,68924691463.0,katycataclysm,
69099928682.0,_usererror333_,68690827301.0,professordebwebb,
69099928682.0,_usererror333_,65021872330.0,lid_bean,
69099928682.0,_usererror333_,63407566102.0,asha_vere,
69099928682.0,_usererror333_,63381245915.0,jameswritesurprisingly,
69099928682.0,_usererror333_,68493912499.0,call.me_christy,
69099928682.0,_usererror333_,65857235588.0,pig.whiskers,
69099928682.0,_usererror333_,71324892320.0,officialsrscinema,
69099928682.0,_usererror333_,64592031044.0,tyrannasarrarex,
69099928682.0,_usererror333_,63612160116.0,darkruni,
69099928682.0,_usererror333_,71381555593.0,kevin.mc4,
69099928682.0,_usererror333_,64567878273.0,ashaeatssoup,
69099928682.0,_usererror333_,70758646414.0,crueltyfree96,
70370096931.0,everybodyhaspolio,63421967386.0,itsjust_jymie,
70370096931.0,everybodyhaspolio,63243418374.0,subtotalpoet,
70370096931.0,everybodyhaspolio,70048575163.0,princess.flibbertigibbety,
70370096931.0,everybodyhaspolio,69553838727.0,kat.doobie,
70370096931.0,everybodyhaspolio,70192730916.0,sarahtonin26,
70370096931.0,everybodyhaspolio,63097541651.0,violent_skully,
70370096931.0,everybodyhaspolio,63271278502.0,meimur,
70370096931.0,everybodyhaspolio,63407783060.0,_addyw_,
70370096931.0,everybodyhaspolio,63085666879.0,nootch_vader,
70370096931.0,everybodyhaspolio,63088302232.0,enigma956,
70370096931.0,everybodyhaspolio,63078641584.0,disdain_in_the_membrane,
70370096931.0,everybodyhaspolio,65064149978.0,jacubinthecut,
70370096931.0,everybodyhaspolio,66310528092.0,cloudedlaughs,
70370096931.0,everybodyhaspolio,70413538484.0,howusay_cucumbare,
70370096931.0,everybodyhaspolio,63460213473.0,sojournerweaver,
70370096931.0,everybodyhaspolio,66380543581.0,frankthefifth,
70370096931.0,everybodyhaspolio,66272878687.0,brandon_zombi3,
70370096931.0,everybodyhaspolio,63244067067.0,solmarineris,
70370096931.0,everybodyhaspolio,69306279709.0,dmunnyjuan,
70370096931.0,everybodyhaspolio,64492365397.0,fuckits420247365,
70370096931.0,everybodyhaspolio,66423779217.0,jazzyj_31,
70370096931.0,everybodyhaspolio,63652180511.0,your.old.pal.goldie,
70370096931.0,everybodyhaspolio,69932590477.0,little_g_tx,
70370096931.0,everybodyhaspolio,69054533247.0,sugar.y.spite,
70370096931.0,everybodyhaspolio,70578381124.0,sun.shine.023,
70370096931.0,everybodyhaspolio,64104221449.0,trich_13,
70370096931.0,everybodyhaspolio,63381751695.0,min.ominomino,
70370096931.0,everybodyhaspolio,64949377357.0,octoberex0dus,
70370096931.0,everybodyhaspolio,63261413757.0,sethappeal,
71864305843.0,ur_favourite_kitten,63073439712.0,w.a.t.e.r.m.e.l.o.n.n.e,
70090860545.0,very.sedated,63294876280.0,ghxst.angxl,
70090860545.0,very.sedated,63622240163.0,thewickedeye,
70090860545.0,very.sedated,65113336515.0,ana.berts,
70090860545.0,very.sedated,65576007559.0,tsundraaa,
70090860545.0,very.sedated,63033877953.0,sacred.zee,
70090860545.0,very.sedated,67634922319.0,emmaraeeee_,
70090860545.0,very.sedated,63421967386.0,itsjust_jymie,
70090860545.0,very.sedated,64131386979.0,riley646,
63250034473.0,brattyxbats97,70801981820.0,stoicheadaurelius,
63250034473.0,brattyxbats97,63395645265.0,digital.icarus,
63250034473.0,brattyxbats97,70995898767.0,sigh.of.a.siren,
63250034473.0,brattyxbats97,70369451491.0,filmq33n,
63250034473.0,brattyxbats97,69638162998.0,actuallyelastigirl,
63250034473.0,brattyxbats97,63421967386.0,itsjust_jymie,
63250034473.0,brattyxbats97,67138257125.0,dirty.is.dead,
63250034473.0,brattyxbats97,71259349182.0,ronniebear_,
63250034473.0,brattyxbats97,70823394937.0,booky.biker,
63250034473.0,brattyxbats97,69681848802.0,leptir1313,
71816663261.0,phantom_fairy,63023703165.0,kaci.blue,
71816663261.0,phantom_fairy,65857235588.0,pig.whiskers,
71816663261.0,phantom_fairy,69436492686.0,thataltdoll,
71816663261.0,phantom_fairy,63281657974.0,kalimariamoon,
71816663261.0,phantom_fairy,66411901180.0,mayornayr,
71816663261.0,phantom_fairy,64036195205.0,piss.flaps69,
71816663261.0,phantom_fairy,67634922319.0,emmaraeeee_,
71816663261.0,phantom_fairy,63090982323.0,cherrykitten333,
71816663261.0,phantom_fairy,64582974814.0,itsonlycassidy,
71816663261.0,phantom_fairy,63243418374.0,subtotalpoet,
71816663261.0,phantom_fairy,63052518832.0,izzie3030,
71816663261.0,phantom_fairy,63421967386.0,itsjust_jymie,
71816663261.0,phantom_fairy,70872730074.0,dailysh1tpost,
71816663261.0,phantom_fairy,63240659515.0,rebecca.hrndz,
71816663261.0,phantom_fairy,63044005198.0,viktoriaakills,
71816663261.0,phantom_fairy,63488657761.0,viktoriaakillz,
71816663261.0,phantom_fairy,67699043340.0,strawbabeshortcake,
71816663261.0,phantom_fairy,65064149978.0,jacubinthecut,
71816663261.0,phantom_fairy,71259349182.0,ronniebear_,
71816663261.0,phantom_fairy,64740179584.0,_al3xandraaaa,
71816663261.0,phantom_fairy,63063007518.0,soooooobbygirl,
71816663261.0,phantom_fairy,63652180511.0,your.old.pal.goldie,
71816663261.0,phantom_fairy,70834743845.0,sweet.siren.eyes,
71816663261.0,phantom_fairy,63426811037.0,red.the.living.dead,
71816663261.0,phantom_fairy,64334799148.0,jazzcabbageenthusiast69,
71816663261.0,phantom_fairy,63245083217.0,wallflower.marie,
65189344964.0,mujerebonita,64128275608.0,sueishere1955,
65189344964.0,mujerebonita,63652216159.0,christine_3251,
65189344964.0,mujerebonita,65835444819.0,rabitt.marketing,
65189344964.0,mujerebonita,63052518832.0,izzie3030,
65189344964.0,mujerebonita,64005677465.0,marleen_24_7,
65189344964.0,mujerebonita,66464026044.0,kkyanaandrea,
65189344964.0,mujerebonita,66396550341.0,lizzy.xstar,
63048052647.0,lemmyg,71686487475.0,db.x_x,
71622001172.0,thatfwitch,70241832271.0,bratzdoll838,
71622001172.0,thatfwitch,63527255724.0,originalmks,
63376646951.0,luchaaavandross,68931378471.0,oatmilkgoth,
69847866209.0,turnuppixie,63421967386.0,itsjust_jymie,
63209433517.0,kelsey.reanne,71865395601.0,hatsunechastity,
63209433517.0,kelsey.reanne,64036195205.0,piss.flaps69,
63286072672.0,madebyrichi,67516854676.0,kendrabitches,
63286072672.0,madebyrichi,66450183215.0,ass_huh_lee,
63286072672.0,madebyrichi,63403017876.0,big.dharma,
71304999013.0,squidwatch_,64479498289.0,hates_milk,
71304999013.0,squidwatch_,68518283340.0,__.tilley.__,
71304999013.0,squidwatch_,70855100180.0,yesitsangiebell,
71304999013.0,squidwatch_,63050014333.0,pizzapapi_parmeshawn,
71134321744.0,lizzymay1022,63612160116.0,darkruni,
70758646414.0,crueltyfree96,68518283340.0,__.tilley.__,
63016533406.0,shinigamikutie,66411901180.0,mayornayr,
63264195541.0,board_raven,66311329919.0,laaye47,
67746760765.0,annekaelliot,70894623771.0,nightmare_ulas,
70834202911.0,wickedbooksandtales,63367833785.0,villainchrisk,
66341037645.0,tinykindnesses,70633205182.0,shaunarenee84,
64327332683.0,montsponts,71865395601.0,hatsunechastity,
64327332683.0,montsponts,5384345824.0,miyoshi3951,
70721343872.0,sweet.nothings.222,67634922319.0,emmaraeeee_,
70721343872.0,sweet.nothings.222,66769627005.0,exileonmainst_,
70721343872.0,sweet.nothings.222,67623458635.0,victoriaaagraves,
70721343872.0,sweet.nothings.222,65857235588.0,pig.whiskers,
67534514228.0,da_josheezy,70440826177.0,silverpan,
70290564124.0,pizza_burger_taco,69221625813.0,nice_bajablast,
70290564124.0,pizza_burger_taco,70801981820.0,stoicheadaurelius,
70290564124.0,pizza_burger_taco,63297525252.0,mich321,
70282650257.0,blazing__hell,70369451491.0,filmq33n,
70894623771.0,nightmare_ulas,64839720354.0,poetgirrl,
63230341872.0,pageistherage,65857235588.0,pig.whiskers,
63230341872.0,pageistherage,64036195205.0,piss.flaps69,
63230341872.0,pageistherage,66931146659.0,xoxoleola,
63979302651.0,debscholtes,70712917268.0,mrstsstories,
66249180351.0,seline.noire,67133571003.0,kinky_queeer,
66249180351.0,seline.noire,69638162998.0,actuallyelastigirl,
67138257125.0,dirty.is.dead,68003622341.0,rosie_revive,
67138257125.0,dirty.is.dead,70369451491.0,filmq33n,
67138257125.0,dirty.is.dead,68518283340.0,__.tilley.__,
67138257125.0,dirty.is.dead,66769627005.0,exileonmainst_,
70171962998.0,reeselandrypoetry,64338268138.0,notions.of.nobody,
