follower_username,follower_count,thread_user_pk,thread_follower_pk
stacidblack,114,67036773813,67036773813.0
homeecmel,772,63465676707,63465676707.0
handmade_market_ks,114,63400405482,63400405482.0
l0dservices,241,69029504312,69029504312.0
viknes_michael,72,66301705775,66301705775.0
magpiegemstones,579,63140923891,63140923891.0
creativityisspirituality,107,64091700024,64091700024.0
debrinak,134,69484926672,69484926672.0
thorntonsteve,48,70326548033,70326548033.0
bethmcelhaney,81,63426234820,63426234820.0
worldslargestthings,303,63465616728,63465616728.0
chris.hamilton.3382,7,69094221583,69094221583.0
thebigbeeclub,110,63365039751,63365039751.0
richard_davies_art,83,65236048787,65236048787.0
violinjudy,219,63073758876,63073758876.0
tony_studium,55,65763544391,65763544391.0
_brittanyannwalker,165,70235176970,70235176970.0
createinict,313,65091553286,65091553286.0
chicken.love,89,63303872277,63303872277.0
clever2gether,5,70152305430,70152305430.0
ottertim,20,65348951270,65348951270.0
femailler,188,63275430942,63275430942.0
natalie_durkin_textile_artist,52,63273528731,63273528731.0
redbinary,108,63025174647,63025174647.0
earthmama_06,78,63258237559,63258237559.0
princecaspian1969,486,62352041735,62352041735.0
jesimika.p.wright,191,67516697731,67516697731.0
thecindykelly,343,63059046463,63059046463.0
gaypostmalone,169,63141518480,63141518480.0
nanmade13,196,62925239975,62925239975.0
lostartict,36,65054844324,65054844324.0
_ophelion,146,63413356770,63413356770.0
texdedhed,141,66843199191,66843199191.0
roguepuppet,111,63468961083,63468961083.0
lizzyks1024,59,63429829549,63429829549.0
justice4jermaine,51,63464413535,63464413535.0
jenni.drinnen,84,63290283066,63290283066.0
outdoorfabricexpert_zenda,117,65674939197,65674939197.0
shopadamo1987,190,66163914968,66163914968.0
anthonydelossantosaustin,156,63244495820,63244495820.0
lisawaltonartist,1232,70142447317,70142447317.0
mollys_of_kensington,87,69912487937,69912487937.0
beautybynazss,151,63099414733,63099414733.0
industrymademe,54,63375331606,63375331606.0
atxgraphics,100,70917614025,70917614025.0
santafefashionweeknm,912,63395798476,63395798476.0
misstralynza,198,62381474421,62381474421.0
foodhubks,443,63504600501,63504600501.0
revaprilkling,224,63981993353,63981993353.0
specseyewear,254,63459523636,63459523636.0
hoppockkelley,13,67980467764,67980467764.0
summerseasones,13,63310777769,69704736327.0
annresnick,163,63310777769,63083525718.0
shalottlilly,659,63310777769,67926895261.0
rudylee_jr,115,63310777769,63565266889.0
mdataur.molla,76,63310777769,65968527022.0
dugettiwestern,170,63310777769,63445686661.0
accentlightinginc,324,63310777769,71712442490.0
kayleethamrin,277,63310777769,63055933908.0
madebuyjerome,50,63310777769,63461753581.0
mpartstudio1,280,63310777769,68270174895.0
cognosity,2,63310777769,72115507978.0
ictartscouncil,360,63310777769,63388119295.0
austringersherry,44,63310777769,63422993727.0
lvasaelini,83,63310777769,67992216419.0
huck709,66,63310777769,63080507363.0
cerlyn_shepu,208,63310777769,63226419487.0
metalmorphosestudio,198,63310777769,65114405545.0
fabesflowstate,156,63310777769,63159389423.0
kiona._.f,44,63310777769,64761738017.0
houstonfashionweek,320,63310777769,64365173714.0
dr.wherewolf,266,63310777769,65399114468.0
christyklug,551,63310777769,65841713751.0
keenes.biz,155,63310777769,70208839385.0
quiannaspider,138,63310777769,63388734815.0
ella._.media,186,63310777769,63207639266.0
superdumb,561,63310777769,63228235210.0
vmoraconsulting,292,63310777769,63105718161.0
polychromelion,125,63310777769,63469987491.0
lindalevine1,55,63310777769,63624048696.0
dave9k,45,63310777769,63889121396.0
salinaartcenter,417,63310777769,63335936784.0
password_7000,45,63310777769,63946463941.0
mermaidsoncapecod,1136,63310777769,63046013984.0
serenityspringswellness,571,63310777769,63454763700.0
katlyn_8895,40,63310777769,68886833926.0
hollyhoodphotography,138,63310777769,63146039024.0
bigsisterstudio,552,63310777769,63312722709.0
jaketreat.art,603,63310777769,63047374579.0
nakatsubyjna,230,63310777769,69471439810.0
eekcarlos,170,63310777769,63268986575.0
minhaartecriacao,62,63310777769,63157606177.0
merrowmachine,424,63310777769,63476032718.0
square.and.co,92,63310777769,63366143295.0
rarebirdart,265,63310777769,67487581383.0
m.rae.c96921,115,63310777769,63431914185.0
sarazafar,248,63310777769,63446328990.0
queenrainbow00,36,63310777769,63277451763.0
karenquiltstexas,67,63310777769,63443326025.0
