user_pk,follower_pk,follower_username,follower_count
1451797369,52599817479,rejectgirl_,0
1451797369,206421518,awallace253,125
1451797369,302487254,rosario.zavala.mx,76
1451797369,867674745,tlg1122,6
1451797369,724507447,constancephillipsauthor,237
1451797369,896239274,karsakmelanie,1439
1451797369,1553598039,glassberrycupcake,678
1451797369,2324576717,authormafoster,726
1451797369,1472946824,faith_goldstein_author,1195
1451797369,3649148955,terikayauthor,224
1451797369,11088152766,asyouwishgemstones,533
1451797369,47768122003,rylokinn,1758
1451797369,504271825,soulful_journey_,279
1451797369,1361039863,samhippie420,194
1451797369,1430097734,whitmcc13,113
1451797369,15419537,mellow_moon4,19
1451797369,10326117434,ari.hem2002,12
1451797369,22354992705,julywoman53,23
1451797369,53412039793,paulrichter4645,204
1451797369,50498752720,eallisonphoto,50
1451797369,66274000370,calvintodd75,11
1451797369,4146964960,kimberlee9429,67
1451797369,50902610,color_me_beautiful37,62
1451797369,5679915574,kitch1969,76
1451797369,345937435,cinloveslife,150
17096723,53239441499,robert_steven_schumann,5145
17096723,34199092280,jennelykit,2665
17096723,11817147276,drrobynkelso,425
17096723,64648294622,cherildorr,80
17096723,1570862266,tcreekquilts,0
17096723,1806119263,esmezuccaro,89
17096723,2182807303,weeblackcatstudios,380
17096723,9662803,kellymsmith,34
17096723,242118456,randall.24,130
17096723,7135098838,annawrock,3262
17096723,2048724344,debsbitspieces,106
17096723,1475320914,rabbitfroofroo,72
17096723,2311344582,tammywestfahl,49
17096723,1388350309,harrie_schoots,136
17096723,145593808,debboutwell,30
17096723,2228645605,grannygigi05,63
17096723,1976488516,carol.henderson,67
17096723,27079728,jtowlen,1340
17096723,380057504,shelleyamills,0
17096723,1930516103,joanb59,0
17096723,7087391068,greenjeanbrown,5010
17096723,46053984681,sew.julie.ann,188
17096723,234184075,daylogan22,119
17096723,539658433,wildzipper,152
17096723,60159153142,becca_buttons71,107
17096723,4084834217,fivetowin,5008
17096723,10784431,christine_ohhhh,95
17096723,1619435086,_woman_determined,216
17096723,458015411,whispurrlickens,4046
17096723,11985726,amysuzanne978,35
17096723,1774446865,lourdesmagalhaes1,24
17096723,49936406534,jupsenior,503
17096723,38887609,vmannion,81
17096723,372025637,off_dwal,4863
17096723,56581954999,jazzmarlene_55,520
17096723,51964143034,tbagingit,3769
17096723,3876678834,darkstar1348,273
17096723,3018131769,threadtothread_quilting_jayne,243
17096723,192634303,riva_isms,139
17096723,404800326,danielletriana,40
17096723,631325029,moosethreaddesigns,140
17096723,3025820298,ednahanso,48
17096723,1717827642,bikeham33,70
17096723,317463204,lunaquilts,48
17096723,249273,russty,75
17096723,7993610,vortex33,138
17096723,2174494404,margiesgarden,19
17096723,437004777,quilter112,58
17096723,3264595557,quiltinghorizons,43
17096723,1136642242,cheryltimetocraft,105
55856570272,45673734370,macramebeme,689
55856570272,51699327738,nalo_crafts,417
55856570272,57736582635,cedarfarmcandleco,69
55856570272,51675148070,betteroffsoapshop,247
55856570272,38564220744,ictfloraldesigner,205
55856570272,44247791525,round_em_up_crafts,218
55856570272,9679667101,lyonscreeklocal,70
55856570272,5814787838,thewickedstylist_llc,284
55856570272,55922496838,clovernaturalathers,138
55856570272,3581099238,lanieharris__,141
55856570272,66133078556,the_grumpy_goat_soap_company,86
55856570272,49450368500,white.andlacebridal,237
55856570272,53254805626,adventureart1,85
55856570272,18070884941,mylittlebusybees,416
55856570272,45031999327,alislife33333,1757
55856570272,1339112835,letmommysleep,637
55856570272,5570828605,frostqueenbakery,40
55856570272,58251064548,thelittlethingssoaps,102
55856570272,10944960449,sweetday_cookies,127
55856570272,52854128361,wildmoonmade,181
55856570272,48403697779,room13_creations,1308
55856570272,47604163081,juliewrightmassage,0
55856570272,50338725942,il_cristallo_creations,269
55856570272,442367894,timberlyflowers,61
55856570272,55120281,punknub,2587
55856570272,59845114562,tatuagens__feminina,88
55856570272,50578303866,emjay_designs_,175
55856570272,51026612,shaynalinda13,101
55856570272,55288926238,sunflowersoaps,225
55856570272,26058340828,calming_stones,57
55856570272,2987718898,bloodorchards,155
55856570272,48345439164,rogertheplantman,886
55856570272,53793092593,simplereignsoaps,200
55856570272,13494778959,wahinebakes,5228
55856570272,49115712532,ablutionboutique,85
55856570272,5681047909,purplemountainsoaps,136
55856570272,49697011774,kansascupcakeco,161
55856570272,4860077245,visitgreensburgks,112
55856570272,55172902708,micheles.pineapples_,475
55856570272,1200015877,highlenderninoel,349
55856570272,175103162,kchelle3232,42
55856570272,53101284696,sports_socks.mehar,123
55856570272,49497210226,boutiquebyjemma,62
55856570272,207198649,heatherlongacker,98
55856570272,3430678,mpdesignsjewelry,439
55856570272,59402097644,clearreflection.detailing,98
55856570272,35594139494,birdandbuoy,239
55856570272,7022633402,unmsqd_skincare,33
55856570272,59573303278,the_rookies_cookies_,225
55856570272,7783694904,john.simkins1,89
33147008532,11198198382,silverystarrz,45
33147008532,68105347396,lighthouseengravers,380
33147008532,1432924349,jpace.of.spades,167
33147008532,54086274690,lilacsantiques,307
33147008532,67527951816,glowupmomash,1490
33147008532,59332854314,vtg.jen,269
33147008532,811336754,dolls_in_love,148
33147008532,68840667731,mishtiquelegance,427
33147008532,20179674289,licencas_saruefilhos,33
33147008532,25296622280,_thatssoace,407
33147008532,43867104007,becoming.sandy,208
33147008532,45068496969,angelrecamara,15
33147008532,54195067605,jasminesilva624,91
33147008532,4849824255,martini_peligrini,9
33147008532,67556651283,wellnesswavehq1,41
33147008532,7427248750,charonk1917,8
33147008532,68011854478,cardsmadebymichele,1144
33147008532,58448377273,poshmarkbykathy,130
33147008532,47656181502,lola_shares,118
33147008532,68444401754,cashflowincognito,71
33147008532,50700574190,_.darius.blg,194
33147008532,58757592400,jacquelynrollin,107
33147008532,48495215773,redneck.501,65
33147008532,13313050271,hot_mess_les,128
33147008532,2321896535,adtrainham,137
33147008532,68960670735,wealthdreamstudio,471
33147008532,58588280569,123backontherack,106
33147008532,58198311800,2ndlovethrifter,880
33147008532,43126847085,traumaticco,173
33147008532,45001121054,garciayurisniel,11
33147008532,56114487310,vanntheman07,287
33147008532,64627035218,momhaven.marketing,2447
33147008532,64040063803,louisa_7_holland,590
33147008532,57652905992,my_plus_closet_,446
33147008532,49821022619,el_patron_thrift,198
33147008532,1595926279,sarah.tramel23,140
33147008532,67400350736,_djanitaboogie,110
33147008532,62470760802,blackpearl.scents,2424
33147008532,22239301068,lifetrulybeoverrated,22
33147008532,30364971033,paige.kristo,98
33147008532,15315771,kelliepinkkk,374
33147008532,7566255289,pompeyashley,676
33147008532,54432935382,dinomitevintage,449
33147008532,54806703656,littlemissthisandco,195
33147008532,58235325558,myrasclassicfinds,387
33147008532,57326160142,hhoney.bbunss,0
33147008532,67505459517,lillyandhendrix,515
33147008532,29119000123,transitions_office_solutions,198
33147008532,40243407,amorzenlife,95
33147008532,55617976005,lir.yen,170
3702020941,49901577024,neeshaxx_05,146
3702020941,2004642188,adrianaserromero,84
3702020941,1548851353,carlosalberto.urbano.3,24
3702020941,410780112,letizzzzzz,60
3702020941,2150945492,landyholic,79
3702020941,321554775,mathavvvv,56
3702020941,279095685,well_na70,64
3702020941,340637279,nishan_shadysoldier,46
3702020941,51792371791,vkpixelphotography,70
3702020941,1621491540,mabelmorero,85
3702020941,145798739,natz_wijaya,167
3702020941,549572321,mauro_borba,46
3702020941,6271521772,cent_2604,23
3702020941,1422498124,khaledbaniahmad,60
3702020941,180122832,linsben,44
3702020941,33949416243,c_for_ur_self,51
3702020941,3955005388,ggg_25n0v,684
3702020941,3440629079,maseda_13,46
3702020941,1466358633,katjazapatero,50
3702020941,2497486417,zanellatomota,257
3702020941,67136060773,snphotography11,15
3702020941,2044954608,bottledrone,37
3702020941,1129255368,kenhabib,18
3702020941,1610163237,mquin.27,52
3702020941,255985463,sarugunanchandran,107
3702020941,1368410949,maxilcz,48
3702020941,6050756883,millymuhia,212
3702020941,33010176189,rajrc_390,42
3702020941,347383233,maijahell,111
3702020941,1426310760,sham_gove,609
3702020941,1701015883,parthipan_partha14,0
3702020941,1554823488,john_1502_,63
3702020941,540430818,deep_malik_knl,8
3702020941,2995628910,vasconcelos_marcal,111
3702020941,1994205662,thinesh__raj,68
3702020941,606547355,whoo_so,122
3702020941,3123885375,maurock12334,4
3702020941,5605772684,michaelanantharaj,47
3702020941,1454962844,mostafazizo718,7
3702020941,54078252234,shai_kitsune,519
3702020941,6870712099,vishan_shan_,23
3702020941,5540313154,sanmati_12_15,305
3702020941,3017222268,lili_01_1985,47
3702020941,2226399819,zul.helmi__,444
3702020941,2955242613,mhmoud.elk,35
3702020941,217678525,jeny.marbe1289,35
3702020941,482180321,syalliqsofian,120
3702020941,9292388084,haareshhh_,309
3702020941,1584182611,marilyn.alvarez.santiago,29
3702020941,6831943534,rinna_david,67
472676306,2107004029,morgangeneraux,44
472676306,198493913,dargo84,58
472676306,40740755,marianne_mccarthy_designs,15
472676306,2260463597,cyndi.plymesser,40
472676306,5941902470,sharriboyett,2
472676306,3206759430,mdcreates,20
472676306,1800074400,cindy.doty,363
472676306,57263718752,marypat1935,91
472676306,3304641041,knottybits_pj,85
472676306,3508219466,ljberrigan,16
472676306,231959952,jarmnm,76
472676306,44163956,whiteekat,49
472676306,2737231,gbobmi,89
472676306,9642483,jvburnett,53
472676306,243375897,ngrunz,1
472676306,50891558600,funkonovo,11
472676306,6043141294,beadspiritdesigns,329
472676306,9506317,maddymay1111,67
472676306,187928808,justannief,100
472676306,234920116,pattkovach,26
472676306,1328797794,momma_ravs_too,95
472676306,5844901213,emeraldiyz,19
472676306,64007810904,thelabishop,10
472676306,1433972397,katsmediocrelife,60
472676306,1234112735,copperlock,26
472676306,1099664216,pegijean,110
472676306,39017081,graceestatesale,1912
472676306,501821499,vharwood,248
472676306,50994165,debimcconnell,42
472676306,6363496242,janisbania,59
472676306,3308611021,bgoldenjewelryschool,2422
472676306,104737070,pompdesigns,282
472676306,1739837849,worldonastring,199
472676306,1550480067,hossrogersjewelry,769
472676306,56670924641,megaeralwrites,433
472676306,6356105257,pat.peterson.359,1440
472676306,7340116439,tondyahoyer,29
472676306,789271529,saratheblack,25
472676306,376110792,salrinax,25
472676306,503100498,valeriethorp,51
472676306,5988907609,budgeonwallace,62
472676306,40100284,noralynn_holmes,28
472676306,3627594089,_makaylin_colvin_,47
472676306,49113204,gaylynns,52
472676306,2760221166,americanainitalia,1
472676306,2274477912,therealcassilda,91
472676306,1434203210,suzannegregory,43
472676306,45268150056,be_a_light_jewelry,85
472676306,227103825,zarahti,245
472676306,183066477,violet.ravyn,46
32185561361,4714918,vandewcandew,220
32185561361,2263681210,aunt_rah_rah,18
32185561361,11209464294,otsucouture,17
32185561361,34847676435,dtpennington,34
32185561361,1437158514,doug.fore,0
32185561361,3497288809,lori_santo_,100
32185561361,1481458703,vegas_in_atx,66
32185561361,39509122074,themindfulnutritionist,132
32185561361,4872505437,revaprilkling,236
32185561361,184195911,2cakerach,1
32185561361,15401919,malorylane,93
32185561361,267262483,jusletmebe_great,45
32185561361,1396412832,h3n_ry5,88
32185561361,7049696047,blackspotsunsister,42
32185561361,217111281,rpens10,14
32185561361,10903703525,courtneyraymusic,1148
32185561361,15076751,whampowpop,274
32185561361,11356824069,erinzhurkinwrites,308
32185561361,49617498719,revhelenjames,130
32185561361,53797998866,freckles1501,21
32185561361,1792536073,ser_francine,1399
32185561361,588854419,ari_bina,206
32185561361,277943242,3boys_and_abirdie,113
32185561361,52600247667,rev_chez,30
32185561361,7834032601,abdolreza553,36
32185561361,49517815799,giggly__farts,17
32185561361,243919939,merriber,0
32185561361,48593193921,futurfaith,80
32185561361,3652766567,johnfdohertythebeehiveschool,33
32185561361,8361496248,tjskinner1,55
32185561361,416220107,santoshapoetry,224
32185561361,1915783552,the_fabricker,343
32185561361,12399610,tammisalas,1429
32185561361,2192675410,damegraygirl,48
32185561361,408161514,ramblelikeamother,581
32185561361,47401966529,ifoundmalevich_film,1903
32185561361,192215736,reducereuseremake,674
32185561361,15767752,atxmamalove,0
32185561361,39055957829,pipcardstarot,2102
32185561361,34699878254,unleash_the_hysteria,1
32185561361,5579193693,olivia.romeo.music,407
32185561361,4867862512,sarah_learningheroine,157
