method,num_communities,modularity,coverage,performance
louvain,38,0.7262831269403639,0.9193973083674664,0.9279864420652889
label_propagation,177,0.7145112618670031,0.9141960860802288,0.9341516903993975
girvan_newman,6,0.005192710193273473,1.0,0.016115715949608644
walktrap,103,0.6839580803191341,0.8234835186268773,0.9291553225839073
leiden,38,0.7409305695505795,0.9113841752811911,0.9243280030361398
dbscan,107,-0.015465767769254457,0.7589396008061895,0.8538478908226963
kmeans,15,0.2814571636812708,0.5055750601391327,0.4698513314639024
fcm,4,0.09185948374457632,0.8346336389051427,0.5349048672224198
gaussian_mixture,15,0.30447896337371616,0.4396008061894545,0.8065750034799016
affinity_propagation,3799,0.0014746204167224452,0.005233729926532735,0.9594257079666548
modularity_maximization,35,0.717563846971238,0.9321240491515506,0.9122266540240155
