method,num_communities,modularity,coverage,performance
louvain,38,0.7262831269403639,0.9193973083674664,0.9279864420652889
label_propagation,177,0.7145112618670031,0.9141960860802288,0.9341516903993975
girvan_newman,6,0.005192710193273473,1.0,0.016115715949608644
walktrap,103,0.6839580803191341,0.8234835186268773,0.9291553225839073
leiden,38,0.7409305695505795,0.9113841752811911,0.9243280030361398
dbscan,107,-0.015465767769254457,0.7589396008061895,0.8538478908226963
kmeans,3,0.04911606836547824,0.8641993368441584,0.43796140818829776
fcm,3,0.0338886017127132,0.9077270658604772,0.26351720618030533
gaussian_mixture,3,0.4143965077181116,0.8857031402379559,0.5274150814772867
modularity_maximization,35,0.717563846971238,0.9321240491515506,0.9122266540240155
