user_pk,follower_pk,follower_username,follower_count
192592722,70270187589,loje3.e,0
192592722,1072231825,jesse_elin_browne,4755
192592722,27243316869,irori_no_nikki,88
192592722,69682675201,rysrysurst,8
192592722,47604140482,josackson,119
192592722,12640385583,anthony.hofer.77,10
192592722,46674659383,fiskrof.fotografi,7
192592722,3240694946,selahinenrimmon,134
192592722,66922451891,megs.art8,3
192592722,71839720556,zaytaju,135
192592722,5946625570,c64audiocom,27
192592722,68978509285,emmie__james,439
192592722,728681733,clook94566,49
192592722,8081936998,_l.evi,2
192592722,350854591,_gittii.kv_,146
192592722,68579142189,mirabellethefrog,131
192592722,49118236,ph13027,618
192592722,1269965983,goddessartist,1283
192592722,6249761294,maikhra,25
192592722,3921313915,steve_a50,108
192592722,1297976406,catherine.hiccups,39
192592722,64731856198,hoff_heinz,6
192592722,61928691501,dangluten,1682
192592722,50206665826,oliviergagnon______,10
192592722,274996474,roheski,65
192592722,44921062,helloiamrob,350
192592722,7178696239,vishrmsh,166
192592722,25247075,melanieann888,21
192592722,26257749440,profistimme,214
192592722,20912208,swtaylor,163
192592722,67089906595,donwalters42088,798
192592722,469631,efalconer,467
192592722,58177078842,craig_skier57,151
192592722,4147670985,_kerkula,616
192592722,56579925287,sray1985,59
192592722,10898953,vishesh92,1578
192592722,225742659,nerdkraft,109
192592722,20769891,ellekaydubs,52
192592722,52968495367,lex_hardrein,108
192592722,53103540652,gumdropempire,257
192592722,253651408,rockinmrgiz,17
192592722,1127292,stayce,94
192592722,42141531256,jason_godefroid,533
192592722,63295764832,kris_the_hobbit93,140
192592722,712757277,sonjasjewels,227
192592722,36143978680,_teaeater,43
192592722,60518067514,bemusq,50
192592722,1265264276,brianmays1,148
192592722,204560712,jleojr27,226
192592722,48290545297,therealrealneal,186
192592722,15882297,hello_buckers,135
192592722,4460559824,jutjutjoanney,161
192592722,52108704782,rhrakib_001,51
192592722,15016534,edgir_yab_is_here,66
192592722,1454942,abdoul1,71
192592722,13852815,stoicsquirrel,68
192592722,1971912728,tsacle,37
192592722,271615284,mhyde.jaco,244
192592722,26540004471,liamshamuspatrick,20
192592722,706441992,briancarlosgreen,99
192592722,442507214,jpscribbles,786
192592722,19715785,bannkenney,29
192592722,20825596,magnolia.ave.fl,435
192592722,2079612229,oriole_thistle,79
192592722,61379,jonmulholland,170
192592722,13982723991,neufutures,59
192592722,190020542,omgbeckz,308
192592722,234868869,mmmmaurits,491
192592722,996940,iyervish,79
192592722,1878785,myangventures,277
192592722,6380408988,uatrick,3750
192592722,7428810,cszczepa,45
192592722,6957904646,alex.bp.399,54
192592722,68995030294,officialsrscinema,1432
192592722,66928646402,lingeriesofdavanguards_broadcs,154
192592722,14264101,liahaberman,3520
192592722,4930145443,aaronsmith8481,80
192592722,16871739396,_rickym_14,51
192592722,60410967036,piscatoriallove,1545
192592722,310892434,mrittle,287
192592722,69761579384,thatstheusrname,4
192592722,71424832338,sachinkynar28,18
192592722,204272111,burrowowl,313
192592722,194449190,_luaci_,4
192592722,3814411828,gingernaute,44
192592722,5014427766,kasded900,21
192592722,60136009904,spoilersinthread,205
192592722,50490614962,destinycontrol14,0
192592722,190320253,karinskapski,109
192592722,29416280,_just__mcgee_,2710
192592722,174860668,beefgratz,83
192592722,3871590995,maxibonhr_,64
192592722,254965972,kippface,118
192592722,21863495052,tristao.erick,118
192592722,294123294,reckless_bohemian,267
192592722,3144736545,wildimagesfla,204
192592722,43241049606,browserdoodle,56
192592722,194125941,thekingdouglas223,83
192592722,63517978198,yanglin8973,223
192592722,317271271,sciencestuffwithsteph,696
192592722,1938211278,darajackson14,486
192592722,2261649960,arhernandez00,0
192592722,1376230095,lonehowler1,108
192592722,55130584910,__jeanette_not_janet__,73
192592722,1620408,tigerlilytse,110
192592722,988301,modern.dorkology,300
192592722,2003790140,dessirrie,377
192592722,51265381987,kyle.bainbridge.99,31
192592722,181464963,avellos45,91
192592722,2309663638,pigs_and_bods,19
192592722,57541201421,chemicopenmic,87
192592722,9846718,cnindigital,78
192592722,8060027,leepee67,724
192592722,6987465036,gracie.gidget_goode,205
192592722,1225764942,nb3656,29
192592722,26875739,blackgirlnerds,63932
192592722,32276142,baringmo,12
192592722,68025971019,smkymnd,2
192592722,2526900322,garys416,13
192592722,204207093,tnj3d,38
