user_pk,follower_pk,follower_username,follower_count
327693598,10611739,pedroller,101
327693598,330529368,belizean_dimepiece,0
327693598,65546835488,jamie.oscar09,137
327693598,71363976529,camel.1085815,0
327693598,33743726799,ig.mzain,42
327693598,2925198744,bethany1853,38
327693598,15381655,gouldei,43
327693598,1602427029,reneetotheg,0
327693598,203331722,sophisticated_woman_,134
327693598,54594434926,ricdrip_27,38
327693598,5930536670,diosnerpadua1666,56
327693598,519741181,msdwalls,31
327693598,53246461310,hankokyawthu,0
327693598,59469910689,kennhi5,30
327693598,10063818,s_p_o_a,9
327693598,49326679374,mr_joe_sph,13
327693598,53315285447,d8lein8,9
327693598,286513295,paurigual,0
327693598,1989891836,da_hij,6
178478836,6662254109,amemave22,91
178478836,10583309838,stephenday49,9
178478836,578608641,amberdawnh5586,0
178478836,5461775326,tara.uk,213
178478836,70841811043,williammiller1979,16
178478836,2215501892,msewingn11,75
178478836,62265277706,niiakanuquao,1
178478836,18271,iquanyin,111
178478836,61249782750,animal_rescure_palestine,1635
178478836,18618754,owlorbs,75
178478836,70290193217,noahdomehomey,71
178478836,45408848901,robert.n.douglass,114
178478836,2212585333,mahoneyvanzwoll,10
178478836,59575421764,mollypullman19253d,5
178478836,17890156912,sweettoothcreative,1036
178478836,12911655416,munirmeghjani,497
178478836,405715854,ruwaromman,1402
178478836,11647247632,ssekito_paw_rescue_team,164
178478836,70109554908,micheal_truck04,16
178478836,53875747843,rw885441,137
178478836,67528733868,6prrt4duta7t7owrj6,37
178478836,7406844568,dyl_nfinity,55
178478836,41443070844,anthony.au_green.party,515
178478836,59194042449,patrikvoldan,26
178478836,59540811794,jo_strides,17
178478836,36424176,toddadam,37
178478836,305663889,aprilbeasleybowman,149
178478836,1067587564,jocelynbordador,468
178478836,60960616514,captain_shakespeare,74
178478836,59346247787,dmvcbn,264
178478836,34707729581,nigelphillips96,0
178478836,63761156308,loren4weunitewewin,53
178478836,36940628,glenmcniel,0
178478836,5125046031,elonmuskx_official_,138
178478836,6199234999,austinfcassidy,37
178478836,21508645923,jonmunitz,8
178478836,640896,kristykellington,525
178478836,198062583,kayla_bean12,46
178478836,33744852674,me99461,86
178478836,566547502,adriennehedger,22270
178478836,49771473901,catherinemoylanmini,24
178478836,2340275616,silaswilliams3,34
178478836,3081971804,elizabethbenedictwriter,948
178478836,8360680108,ceefitzee,3
178478836,1984259755,beadingbybri,64
178478836,14775503214,thetao_ofpuffin,10
178478836,27314939,poetinthepantry,249
178478836,45493244011,vargassartori,685
178478836,44680605849,deathghost_welcomes_you,37
178478836,26415509,wallybugg,81
178478836,865944384,michelermoser,88
178478836,48015663289,artemis_clydesdale,291
178478836,14434195600,rebeccahargiswriter,24
178478836,43994813472,kirstendekeyser,18
178478836,21644735,all_goff,45
178478836,345169182,riverrock613,218
178478836,4524880,mikewpaul,393
178478836,5653785674,trumaine_mason,29
178478836,1735500645,docangst,36
178478836,3525684926,oyvindsteensen,22
178478836,3259100537,behvlnd,53
178478836,32616510,amalgamas,51
178478836,3239568393,tyrenepamstein,57
178478836,3025583642,flo.snook,2681
178478836,61376922725,myriadthings26,143
178478836,182434477,bovlb,20
178478836,2987370739,jimmy.g.place,0
178478836,53185158191,collinxbrown,252
178478836,7126158429,timwaliser,20
178478836,4609537938,danugna,168
178478836,361206923,joelcardwellig,2668
178478836,238002016,teach52,10
178478836,60215335592,tao_mountain8,136
178478836,63023530678,raahdy_,3755
178478836,392880052,joshmetz75,14
178478836,60213342066,antnry58,29
178478836,1831252174,0abelmolina,117
178478836,1160327057,maxhmarmer,310
178478836,386201763,michellehannon32,2
178478836,60390139003,laraboles,273
178478836,54822203395,osqra_india,1596
178478836,60270928957,moraisjoseroberto401,79
178478836,7025696162,nathansmith3117,0
178478836,48028816450,tobyplloyd,110
178478836,489147201,jesse.hurk,0
178478836,5609650610,wardpetrus,57
178478836,280298198,aaronvw81,13
178478836,7555642827,crayne_cinema,151
178478836,338266655,lilapexvi,457
178478836,65358241275,poutpoury,0
178478836,3985685626,eyebrid,91
178478836,346271221,tefoden,13
178478836,1985737,stovak,434
178478836,3097531617,scottbjd,26
178478836,44976332453,_ahmad_ph_,29
178478836,294708453,lizkrauft,7
178478836,221250014,janamaus,0
178478836,38533660,dyanneary,0
178478836,7864230847,mrjakuuuu,54
178478836,69410505917,sunny_m.m.k,1331
178478836,66925706869,hive.geist.us,193
178478836,332181043,stoicsanta,39
178478836,60780214130,cullensolar,17
178478836,2084934693,meherdust_ken,39
178478836,68546672250,greedbane,2829
178478836,4056511267,pattiehartmann,3539
178478836,13340140302,claudicuca,446
178478836,302456321,stevenjarvis,271
178478836,177355710,admut,435
178478836,60423228852,23kinaan,133
178478836,66540306999,wa_chiefsfan,203
178478836,8364048342,logical_hafling,6
178478836,5782041448,elon_reeve_musk_0_1,434
178478836,7342393686,joshua.cantu.56,78
178478836,258609692,rina_palumbo,3143
178478836,364878,hill60,1344
178478836,245879600,joidarling,243
178478836,1537301109,yamockochi,0
178478836,68737729640,canada_nwo,23
178478836,454693358,revcriansionainn,4001
178478836,957982,nolachick,931
178478836,58021416874,sukhchainchaudhari,79
178478836,19410205,theachard,125
178478836,5846754412,bohoterry,69
178478836,63843875658,stratoingeinius,555
178478836,660696970,splendidcolors,264
178478836,63007935993,mae_bragg_4541,120
178478836,33300277008,saysmith_ranbir,142
178478836,60393370469,locus_me,41
178478836,10648349781,jenvegasinny,305
178478836,47931789277,collinsleslee1,1297
178478836,428509745,billreviews,266
178478836,8777901393,chriszollna,167
178478836,322352250,vanessambouchereau,127
178478836,254549360,feeney8,0
178478836,3388340,dbackie,205
178478836,54161986675,mena_shalaby1,33
178478836,18803563136,alilomas9,89
178478836,41133891723,jockox3,10
178478836,197694349,bryongarner,707
178478836,68196628946,official.boss.mom,408
178478836,2263955617,johnnyjonesransom,19
178478836,67255878770,symphony.of.sunflowers,66
178478836,46458708,juliefrancella,1699
178478836,66444767572,astro_abby1204,23
178478836,1441952674,violet_sky_design,138
178478836,3011410225,underdog67ridesagain,488
178478836,47582201010,thegrit_music,184
178478836,3016523476,jpmcccjhs,200
178478836,303570242,violinsnbows,44
178478836,31472082244,e.pisswiddle,435
178478836,1821034068,florianvaniersel,13
178478836,7999880,dimetriwilker,85
178478836,38070533,dave.arnone,81
